year,rwi,rwi_lag1,rwi_lag2,rwi_diff1,rwi_smooth5
1849,0.33608516214751305,0.33608516214751305,0.33608516214751305,0.1095929876568022,0.47246754678708935
1850,0.44567814980431525,0.33608516214751305,0.33608516214751305,0.1095929876568022,0.6006922865050134
1851,0.6356393284094397,0.44567814980431525,0.33608516214751305,0.18996117860512446,0.6326363529832826
1852,0.9853665056587856,0.6356393284094397,0.44567814980431525,0.3497271772493459,0.7413116537329911
1853,0.7604126188963594,0.9853665056587856,0.6356393284094397,-0.22495388676242623,0.8867890426181173
1854,0.8794616658960558,0.7604126188963594,0.9853665056587856,0.11904904699969643,0.9738775072492721
1855,1.1730650942299454,0.8794616658960558,0.7604126188963594,0.29360342833388964,0.8876765278635175
1856,1.071081651565215,1.1730650942299454,0.8794616658960558,-0.10198344266473036,0.8808470598102669
1857,0.5543616087300112,1.071081651565215,1.1730650942299454,-0.5167200428352039,0.8604037280374375
1858,0.7262652786301073,0.5543616087300112,1.071081651565215,0.1719036699000961,0.7205677865764677
1859,0.7772450070319084,0.7262652786301073,0.5543616087300112,0.050979728401801094,0.6290857836814665
1860,0.4738853869250965,0.7772450070319084,0.7262652786301073,-0.30335962010681183,0.6459925263600561
1861,0.6136716370902089,0.4738853869250965,0.7772450070319084,0.13978625016511237,0.6639470092620758
1862,0.6388953221229599,0.6136716370902089,0.4738853869250965,0.025223685032750964,0.6369668300641121
1863,0.8160376931402058,0.6388953221229599,0.6136716370902089,0.17714237101724595,0.6397233823613202
1864,0.6423441110420898,0.8160376931402058,0.6388953221229599,-0.17369358209811603,0.6281758134806721
1865,0.48766814841113676,0.6423441110420898,0.8160376931402058,-0.154675962630953,0.6537651336681497
1866,0.5559337926869685,0.48766814841113676,0.6423441110420898,0.06826564427583176,0.5940860011016171
1867,0.7668419230603475,0.5559337926869685,0.48766814841113676,0.21090813037337897,0.5888222353621745
1868,0.5176420303075433,0.7668419230603475,0.5559337926869685,-0.2491998927528042,0.6267830065379743
1869,0.6160252823448763,0.5176420303075433,0.7668419230603475,0.098383252037333,0.7105530396845554
1870,0.6774720042901359,0.6160252823448763,0.5176420303075433,0.061446721945259575,0.7787682933097082
1871,0.9747839584198744,0.6774720042901359,0.6160252823448763,0.29731195412973854,0.8655238019244706
1872,1.1079181911861113,0.9747839584198744,0.6774720042901359,0.13313423276623693,0.9179068645782982
1873,0.9514195733813544,1.1079181911861113,0.9747839584198744,-0.15649861780475693,0.9644835630101699
1874,0.8779405956140145,0.9514195733813544,1.1079181911861113,-0.07347897776733991,0.9157833419625817
1875,0.9103554964494954,0.8779405956140145,0.9514195733813544,0.03241490083548093,0.8248829152734597
1876,0.7312828531819324,0.9103554964494954,0.8779405956140145,-0.179072643267563,0.7421777034734969
1877,0.6534160577405015,0.7312828531819324,0.9103554964494954,-0.07786679544143094,0.6985607941440976
1878,0.5378935143815409,0.6534160577405015,0.7312828531819324,-0.11552254335896062,0.6652829195691321
1879,0.6598560489670178,0.5378935143815409,0.6534160577405015,0.1219625345854769,0.6731820725876311
1880,0.743966123574668,0.6598560489670178,0.5378935143815409,0.08411007460765019,0.6979841157637783
1881,0.7707786182744276,0.743966123574668,0.6598560489670178,0.02681249469975966,0.7816665810389275
1882,0.777426273621237,0.7707786182744276,0.743966123574668,0.0066476553468093336,0.8314403480977237
1883,0.9563058407572873,0.777426273621237,0.7707786182744276,0.17887956713605035,0.8802056494090735
1884,0.908724884260999,0.9563058407572873,0.777426273621237,-0.04758095649628835,0.8853061667955598
1885,0.9877926301314165,0.908724884260999,0.9563058407572873,0.07906774587041754,0.8328009939025162
1886,0.7962812052068592,0.9877926301314165,0.908724884260999,-0.1915114249245573,0.7620032441598983
1887,0.5149004091560189,0.7962812052068592,0.9877926301314165,-0.2813807960508403,0.7120287400708891
1888,0.6023170920441975,0.5149004091560189,0.7962812052068592,0.08741668288817861,0.6560330473992184
1889,0.6588523638159535,0.6023170920441975,0.5149004091560189,0.05653527177175599,0.6870046880988403
1890,0.7078141667730627,0.6588523638159535,0.6023170920441975,0.04896180295710928,0.7887330855144914
1891,0.9511394087049684,0.7078141667730627,0.6588523638159535,0.24332524193190563,0.9013268160590077
1892,1.0235423962342753,0.9511394087049684,0.7078141667730627,0.07240298752930696,1.023879406709673
1893,1.165285744766778,1.0235423962342753,0.9511394087049684,0.1417433485325026,1.1124255296947414
1894,1.2716153170692808,1.165285744766778,1.0235423962342753,0.10632957230250284,1.131579281520165
1895,1.1505447816984042,1.2716153170692808,1.165285744766778,-0.12107053537087653,1.1600065101620038
